Delta,Gamma,Vega,Theta,Rho,Stock Price
0.0009174326039451515,0.0003110898644849087,0.0015554493224245432,-4.8570147551898154e-05,0.0004347221264394784,50.0
0.001085676578798928,0.00035946607767830125,0.0018336391763189121,-5.735007353868878e-05,0.000519277015686456,50.50251256281407
0.001279694653879722,0.00041375072345807784,0.002152755430795173,-6.744206553646139e-05,0.0006177599225713349,51.00502512562814
0.0015025774942827785,0.0004744298642844361,0.002517349946535874,-7.899608272110129e-05,0.0007320141455686463,51.50753768844221
0.0017576629198950344,0.0005420006377223434,0.002932272584753503,-9.217263934619298e-05,0.0008640575027650824,52.01005025125628
0.002048540728587793,0.0006169682544145223,0.0034026653772733957,-0.00010714274759415768,0.0010160898198267195,52.51256281407035
0.0023790559401558695,0.0006998427185204527,0.003933953394011399,-0.000124087760189615,0.001190499705819097,53.015075376884425
0.0027533103277125165,0.0007911352959443517,0.004531832181220083,-0.00014319910768097101,0.0013898704982707177,53.517587939698494
0.0031756621170800697,0.0008913547600162997,0.005202251683259698,-0.00016467792641286115,0.0016169852616194672,54.02010050251256
0.0036507237506320836,0.00100100344823382,0.00595139660284871,-0.00018873457442897533,0.0018748307276177803,54.52261306532663
0.004183357629824281,0.0011205731671445726,0.006785663199088513,-0.000215588033843119,0.00216660007237066,55.0251256281407
0.004778669770048279,0.0012505409853935763,0.00771163256831995,-0.00024546519957569906,0.002495694432386133,55.527638190954775
0.005442001322172535,0.001391364957320551,0.008736040499304775,-0.00027860005575145916,0.002865723071246966,56.030150753768844
0.006178917936899436,0.0015434798212373168,0.009865744040572102,-0.00031523274246988086,0.0032805021191570968,56.53266331658291
0.006995196970547165,0.0017072927176166313,0.011107684963267014,-0.00035560851706952564,0.00374405181954134,57.03517587939699
0.007896812553733598,0.0018831789728698967,0.012468850346742541,-0.00039997661538923433,0.004260592229929021,57.537688442211056
0.008889918567368971,0.002071477994182596,0.013956230555740703,-0.00044858901986081443,0.004834537338358046,58.040201005025125
0.009980829593022955,0.0022724893200240953,0.015576774916642017,-0.0005016991425286342,0.005470487571306253,58.54271356783919
0.011175999926810865,0.002486468869477737,0.01733734543533093,-0.0005595604322624441,0.006173220684496561,59.04522613065326
0.012482000767128883,0.002713625431479624,0.01924466893017588,-0.0006224249164927649,0.00694768104362008,59.54773869346734
0.013905495706586673,0.0029541174324552322,0.021305287980010013,-0.0006905416887382525,0.007798967317872402,60.050251256281406
0.015453214677068007,0.0032080500177512354,0.023525511108432803,-0.0007641553539979975,0.008732318624988201,60.552763819095475
0.01713192651376969,0.0034754724787346503,0.02591136264195379,-0.0008435044447382573,0.009753099181985202,61.05527638190955
0.01894841031912001,0.003756376053534761,0.028468532690263382,-0.0009288198207043218,0.010866781530888716,61.55778894472362
